Key,en,tr
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Karakter Dosyasını Aç
MainMenu.Info.Log,Open Log Folder,Sistem Günlüğü Dosyasını Aç
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Küresel Renk Tablosunu Kullanarak
MainMenu.Editor.ExportStatic,Export Static Image,Düz Resim Dışarı Aktar
MainMenu.Editor.Player.Speed,Speed,Hız
MainMenu.Settings.StaticImageSettings,Static Image Settings,Düz Resim Ayarları
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Düz Resim Ayarlarını sıfırla
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Örnekleme Oranı
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,"Bu ayar, uygulama içinde bulunan ve özel olarak eklenen dokular arasında geçiş yapmanızı sağlar"
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,PNG'leri Özel Doku dosyasında düzenleyin. Transparant olarak resmi kaydedin ve yüksekliğini/genişliğini değiştirmeyin
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",Düzenlemeniz bittikten sonra bu tuşa basıp değişikliklerin modele uygulanmasını sağlayın.
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,"Karakterinizi kaydedin. Kaydetme tuşu arayüzün solunda, karakter listesinin altında bulunur."
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Lütfen bu özelliği kullanmadan önce Özel Doku Kullanma rehberini okuyun.
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Özel Doku
MainMenu.Editor.Texture.Step1,Step 1,Adım 1
MainMenu.Editor.Texture.Step2,Step 2,Adım 2
MainMenu.Editor.Texture.Step3,Step 3,Adım 3
MainMenu.Editor.Texture.Step4,Step 4,Adım 4
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Seçili Atlasları Güncelle
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Seçili Atlasları Sıfırla
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Doku Hizmetleri
MainMenu.Editor.Texture.SelectAll,Select All,Hepsini seç
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Tersini Seç
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlas Listesi
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Değiştirilen Atlas'ları gömülü versiyonlardaki hallerine geri getirecek. Kaydedilmeyen düzenlemeler kaybolacak ve geri getirilemeyecektir. Devam edilsin mi?
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palet Algoritması
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Doku dosyalarının üstüne dosyalardaki dokular yazılacak. Devam edilsin mi?
