Key,en,zh-Hant,reviewed
Outfit Neckwear A Outline,Outfit Neckwear A Outline,,False
Outfit Neckwear B,Outfit Neckwear B,,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,,False
Outfit Neckwear C,Outfit Neckwear C,,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,,False
Outfit Outer,Outfit Outer,,False
Outfit Outer Outline,Outfit Outer Outline,,False
Pencil,Pencil,,False
Phone,Phone,,False
Phone Light,Phone Light,,False
Hair Pigtail >>,Hair Pigtail >>,,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,,False
Hair Pigtail <<,Hair Pigtail <<,,False
Hair Pigtail << Outline,Hair Pigtail << Outline,,False
Rose,Rose,,False
Round Sign,Round Sign,,False
Round Sign Text,Round Sign Text,,False
Hair Side,Hair Side,,False
Hair Side Outline,Hair Side Outline,,False
Skin,Skin,,False
Skin Outline,Skin Outline,,False
Square Sign,Square Sign,,False
Square Sign Text,Square Sign Text,,False
Steering Wheel,Steering Wheel,,False
Gas Bottle,Gas Bottle,,False
Pat Hand,Pat Hand,,False
Sticker Alert,Sticker Alert,,False
Sticker Alert Effect,Sticker Alert Effect,,False
Sticker Alert Outline,Sticker Alert Outline,,False
Sticker Angry,Sticker Angry,,False
Sticker Exclamation Mark,Sticker Exclamation Mark,,False
Sticker Ghost,Sticker Ghost,,False
Sticker Heart,Sticker Heart,,False
Sticker Laugh,Sticker Laugh,,False
Sticker Question Mark,Sticker Question Mark,,False
Sticker Sleep,Sticker Sleep,,False
Sticker Star,Sticker Star,,False
Sticker Steam,Sticker Steam,,False
Sticker Surprise,Sticker Surprise,,False
Sticker Sweat,Sticker Sweat,,False
Sticker Sweat (Large),Sticker Sweat (Large),,False
Sticker Volume,Sticker Volume,,False
Sticky Note,Sticky Note,,False
Sticky Note Text,Sticky Note Text,,False
Eye Tear,Eye Tear,,False
Utensil,Utensil,,False
Outfit Collar String,Outfit Collar String,,False
